set,composer,albumID,pieceID,key,chroma,participant,valence,arousal,condition,expID
1,chopin,chopinAshkenazy1992Deadpan,m0,c,0,12,3,28,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M0,C,0,12,4,55,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m0,c,0,13,4,90,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M0,C,0,13,6,39,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m0,c,0,14,2,65,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M0,C,0,14,7,86,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m0,c,0,15,2,43,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M0,C,0,15,6,57,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m0,c,0,16,4,7,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M0,C,0,16,3,55,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m0,c,0,17,2,19,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M0,C,0,17,3,65,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m0,c,0,18,2,55,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M0,C,0,18,4,38,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m0,c,0,19,2,1,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M0,C,0,19,3,63,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m0,c,0,24,2,20,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M0,C,0,24,5,40,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m0,c,0,25,1,84,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M0,C,0,25,5,33,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m0,c,0,26,2,23,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M0,C,0,26,4,59,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m0,c,0,27,4,22,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M0,C,0,27,5,43,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m0,c,0,28,1,60,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M0,C,0,28,7,42,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m0,c,0,29,2,35,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M0,C,0,29,5,87,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m0,c,0,30,2,15,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M0,C,0,30,6,67,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m0,c,0,31,2,17,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M0,C,0,31,5,57,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m0,c,0,32,1,34,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M0,C,0,32,3,69,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m0,c,0,33,3,42,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M0,C,0,33,5,17,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m0,c,0,34,2,36,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M0,C,0,34,5,60,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m0,c,0,37,2,42,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M0,C,0,37,5,52,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m0,c,0,38,1,15,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M0,C,0,38,6,57,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m0,c,0,39,2,41,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M0,C,0,39,6,90,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m0,c,0,4,1,37,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M0,C,0,4,5,59,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m0,c,0,40,2,25,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M0,C,0,40,5,65,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m0,c,0,41,3,15,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M0,C,0,41,3,41,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m0,c,0,42,2,35,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M0,C,0,42,4,60,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m0,c,0,43,3,21,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M0,C,0,43,6,44,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m0,c,0,6,1,85,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M0,C,0,6,6,24,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m0,c,0,7,2,76,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M0,C,0,7,4,60,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m0,c,0,8,3,36,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M0,C,0,8,4,35,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m1,c#,1,12,4,67,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M1,Db,1,12,5,68,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m1,c#,1,13,3,84,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M1,Db,1,13,6,43,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m1,c#,1,14,3,95,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M1,Db,1,14,6,30,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m1,c#,1,15,4,71,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M1,Db,1,15,6,25,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m1,c#,1,16,7,97,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M1,Db,1,16,5,37,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m1,c#,1,17,2,80,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M1,Db,1,17,5,30,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m1,c#,1,18,5,67,deadpan,137
