"","composer","set","performer","chroma","mode","albumID","stat_name","variable","value"
"1","chopin","1","ashkenazy","4","Major","chopinAshkenazy1992","mean","centroid",802.644299446157
"2","chopin","1","ashkenazy","4","Major","chopinAshkenazy1992","std","centroid",126.721736341558
"3","chopin","1","ashkenazy","4","Major","chopinAshkenazy1992","median","centroid",785.593574702841
"4","chopin","1","ashkenazy","4","Major","chopinAshkenazy1992","mean","zerocrossing",0.0211085848439157
"5","chopin","1","ashkenazy","4","Major","chopinAshkenazy1992","std","zerocrossing",0.00436367737330831
"6","chopin","1","ashkenazy","4","Major","chopinAshkenazy1992","median","zerocrossing",0.02099609375
"7","chopin","1","ashkenazy","4","Major","chopinAshkenazy1992","mean","rms",0.0598861426115036
"8","chopin","1","ashkenazy","4","Major","chopinAshkenazy1992","std","rms",0.0249188542366028
"9","chopin","1","ashkenazy","4","Major","chopinAshkenazy1992","median","rms",0.0577669516205788
"10","chopin","1","ashkenazy","4","Major","chopinAshkenazy1992","mean","tempo",123.046875
"11","chopin","1","ashkenazy","4","Major","chopinAshkenazy1992","std","tempo",0
"12","chopin","1","ashkenazy","4","Major","chopinAshkenazy1992","median","tempo",123.046875
"13","chopin","1","ashkenazy","4","Major","chopinAshkenazy1992","mean","onset_strength",0.572802722454071
"14","chopin","1","ashkenazy","4","Major","chopinAshkenazy1992","std","onset_strength",0.468549400568008
"15","chopin","1","ashkenazy","4","Major","chopinAshkenazy1992","median","onset_strength",0.478573322296143
"16","chopin","1","ashkenazy","4","Major","chopinAshkenazy1992","mean","high_freq_energy",0.051386721432209
"17","chopin","1","ashkenazy","4","Major","chopinAshkenazy1992","std","high_freq_energy",0.0811841264367104
"18","chopin","1","ashkenazy","4","Major","chopinAshkenazy1992","median","high_freq_energy",0.0279011726379394
"19","chopin","1","ashkenazy","8","Major","chopinAshkenazy1992","mean","centroid",830.732173288233
"20","chopin","1","ashkenazy","8","Major","chopinAshkenazy1992","std","centroid",159.856447657704
"21","chopin","1","ashkenazy","8","Major","chopinAshkenazy1992","median","centroid",808.692550077045
"22","chopin","1","ashkenazy","8","Major","chopinAshkenazy1992","mean","zerocrossing",0.0228827713454785
"23","chopin","1","ashkenazy","8","Major","chopinAshkenazy1992","std","zerocrossing",0.00502686974032988
"24","chopin","1","ashkenazy","8","Major","chopinAshkenazy1992","median","zerocrossing",0.02197265625
"25","chopin","1","ashkenazy","8","Major","chopinAshkenazy1992","mean","rms",0.0326634161174297
"26","chopin","1","ashkenazy","8","Major","chopinAshkenazy1992","std","rms",0.0155737679451704
"27","chopin","1","ashkenazy","8","Major","chopinAshkenazy1992","median","rms",0.0298648029565811
"28","chopin","1","ashkenazy","8","Major","chopinAshkenazy1992","mean","tempo",129.19921875
"29","chopin","1","ashkenazy","8","Major","chopinAshkenazy1992","std","tempo",0
"30","chopin","1","ashkenazy","8","Major","chopinAshkenazy1992","median","tempo",129.19921875
"31","chopin","1","ashkenazy","8","Major","chopinAshkenazy1992","mean","onset_strength",0.563124656677246
"32","chopin","1","ashkenazy","8","Major","chopinAshkenazy1992","std","onset_strength",0.418870359659195
"33","chopin","1","ashkenazy","8","Major","chopinAshkenazy1992","median","onset_strength",0.461934238672256
"34","chopin","1","ashkenazy","8","Major","chopinAshkenazy1992","mean","high_freq_energy",0.00994126219302415
"35","chopin","1","ashkenazy","8","Major","chopinAshkenazy1992","std","high_freq_energy",0.0174290202558041
"36","chopin","1","ashkenazy","8","Major","chopinAshkenazy1992","median","high_freq_energy",0.004942178260535
"37","chopin","1","ashkenazy","11","Major","chopinAshkenazy1992","mean","centroid",1321.39909260303
"38","chopin","1","ashkenazy","11","Major","chopinAshkenazy1992","std","centroid",1143.23412825056
"39","chopin","1","ashkenazy","11","Major","chopinAshkenazy1992","median","centroid",864.488276526971
"40","chopin","1","ashkenazy","11","Major","chopinAshkenazy1992","mean","zerocrossing",0.0268047204178371
"41","chopin","1","ashkenazy","11","Major","chopinAshkenazy1992","std","zerocrossing",0.00822162509593232
"42","chopin","1","ashkenazy","11","Major","chopinAshkenazy1992","median","zerocrossing",0.02587890625
"43","chopin","1","ashkenazy","11","Major","chopinAshkenazy1992","mean","rms",0.0223408062011003
"44","chopin","1","ashkenazy","11","Major","chopinAshkenazy1992","std","rms",0.0123692443594336
"45","chopin","1","ashkenazy","11","Major","chopinAshkenazy1992","median","rms",0.0215483196079731
"46","chopin","1","ashkenazy","11","Major","chopinAshkenazy1992","mean","tempo",117.453835227273
"47","chopin","1","ashkenazy","11","Major","chopinAshkenazy1992","std","tempo",0
"48","chopin","1","ashkenazy","11","Major","chopinAshkenazy1992","median","tempo",117.453835227273
"49","chopin","1","ashkenazy","11","Major","chopinAshkenazy1992","mean","onset_strength",0.659653306007385
"50","chopin","1","ashkenazy","11","Major","chopinAshkenazy1992","std","onset_strength",0.473045647144318
"51","chopin","1","ashkenazy","11","Major","chopinAshkenazy1992","median","onset_strength",0.543102741241455
"52","chopin","1","ashkenazy","11","Major","chopinAshkenazy1992","mean","high_freq_energy",0.046920370310545
"53","chopin","1","ashkenazy","11","Major","chopinAshkenazy1992","std","high_freq_energy",0.160439342260361
"54","chopin","1","ashkenazy","11","Major","chopinAshkenazy1992","median","high_freq_energy",0.00570951355621218
"55","chopin","1","ashkenazy","7","Major","chopinAshkenazy1992","mean","centroid",898.283469873716
"56","chopin","1","ashkenazy","7","Major","chopinAshkenazy1992","std","centroid",136.775983651614
"57","chopin","1","ashkenazy","7","Major","chopinAshkenazy1992","median","centroid",885.865130646834
"58","chopin","1","ashkenazy","7","Major","chopinAshkenazy1992","mean","zerocrossing",0.0220029119995233
"59","chopin","1","ashkenazy","7","Major","chopinAshkenazy1992","std","zerocrossing",0.00593294224074819
"60","chopin","1","ashkenazy","7","Major","chopinAshkenazy1992","median","zerocrossing",0.02099609375
"61","chopin","1","ashkenazy","7","Major","chopinAshkenazy1992","mean","rms",0.0227363780140877
"62","chopin","1","ashkenazy","7","Major","chopinAshkenazy1992","std","rms",0.00875466875731945
"63","chopin","1","ashkenazy","7","Major","chopinAshkenazy1992","median","rms",0.0215871203690767
"64","chopin","1","ashkenazy","7","Major","chopinAshkenazy1992","mean","tempo",112.34714673913
"65","chopin","1","ashkenazy","7","Major","chopinAshkenazy1992","std","tempo",0
"66","chopin","1","ashkenazy","7","Major","chopinAshkenazy1992","median","tempo",112.34714673913
"67","chopin","1","ashkenazy","7","Major","chopinAshkenazy1992","mean","onset_strength",0.693118393421173
"68","chopin","1","ashkenazy","7","Major","chopinAshkenazy1992","std","onset_strength",0.428206443786621
"69","chopin","1","ashkenazy","7","Major","chopinAshkenazy1992","median","onset_strength",0.571049690246582
"70","chopin","1","ashkenazy","7","Major","chopinAshkenazy1992","mean","high_freq_energy",0.0159067716449499
"71","chopin","1","ashkenazy","7","Major","chopinAshkenazy1992","std","high_freq_energy",0.0243503879755735
"72","chopin","1","ashkenazy","7","Major","chopinAshkenazy1992","median","high_freq_energy",0.00810429640114307
"73","chopin","1","ashkenazy","10","Major","chopinAshkenazy1992","mean","centroid",847.943793781928
"74","chopin","1","ashkenazy","10","Major","chopinAshkenazy1992","std","centroid",165.169294172386
"75","chopin","1","ashkenazy","10","Major","chopinAshkenazy1992","median","centroid",809.02516777948
"76","chopin","1","ashkenazy","10","Major","chopinAshkenazy1992","mean","zerocrossing",0.0213437529682751
"77","chopin","1","ashkenazy","10","Major","chopinAshkenazy1992","std","zerocrossing",0.00683741949323757
"78","chopin","1","ashkenazy","10","Major","chopinAshkenazy1992","median","zerocrossing",0.02001953125
"79","chopin","1","ashkenazy","10","Major","chopinAshkenazy1992","mean","rms",0.0228117126971483
"80","chopin","1","ashkenazy","10","Major","chopinAshkenazy1992","std","rms",0.00950761139392852
"81","chopin","1","ashkenazy","10","Major","chopinAshkenazy1992","median","rms",0.02086241543293
"82","chopin","1","ashkenazy","10","Major","chopinAshkenazy1992","mean","tempo",112.34714673913
"83","chopin","1","ashkenazy","10","Major","chopinAshkenazy1992","std","tempo",0
"84","chopin","1","ashkenazy","10","Major","chopinAshkenazy1992","median","tempo",112.34714673913
"85","chopin","1","ashkenazy","10","Major","chopinAshkenazy1992","mean","onset_strength",0.558850884437561
"86","chopin","1","ashkenazy","10","Major","chopinAshkenazy1992","std","onset_strength",0.379262566566467
"87","chopin","1","ashkenazy","10","Major","chopinAshkenazy1992","median","onset_strength",0.480241149663925
"88","chopin","1","ashkenazy","10","Major","chopinAshkenazy1992","mean","high_freq_energy",0.00825641676783561
"89","chopin","1","ashkenazy","10","Major","chopinAshkenazy1992","std","high_freq_energy",0.0149762984365225
"90","chopin","1","ashkenazy","10","Major","chopinAshkenazy1992","median","high_freq_energy",0.00401510205119848
"91","chopin","1","ashkenazy","9","minor","chopinAshkenazy1992","mean","centroid",833.644120985319
"92","chopin","1","ashkenazy","9","minor","chopinAshkenazy1992","std","centroid",143.730824643695
"93","chopin","1","ashkenazy","9","minor","chopinAshkenazy1992","median","centroid",816.569070259525
"94","chopin","1","ashkenazy","9","minor","chopinAshkenazy1992","mean","zerocrossing",0.0146145979173959
"95","chopin","1","ashkenazy","9","minor","chopinAshkenazy1992","std","zerocrossing",0.00319583861151386
"96","chopin","1","ashkenazy","9","minor","chopinAshkenazy1992","median","zerocrossing",0.0146484375
"97","chopin","1","ashkenazy","9","minor","chopinAshkenazy1992","mean","rms",0.0161187816411257
"98","chopin","1","ashkenazy","9","minor","chopinAshkenazy1992","std","rms",0.00553579721599817
"99","chopin","1","ashkenazy","9","minor","chopinAshkenazy1992","median","rms",0.0151305869221687
"100","chopin","1","ashkenazy","9","minor","chopinAshkenazy1992","mean","tempo",123.046875
"101","chopin","1","ashkenazy","9","minor","chopinAshkenazy1992","std","tempo",0
"102","chopin","1","ashkenazy","9","minor","chopinAshkenazy1992","median","tempo",123.046875
"103","chopin","1","ashkenazy","9","minor","chopinAshkenazy1992","mean","onset_strength",0.531577706336975
"104","chopin","1","ashkenazy","9","minor","chopinAshkenazy1992","std","onset_strength",0.293165177106857
"105","chopin","1","ashkenazy","9","minor","chopinAshkenazy1992","median","onset_strength",0.4848952293396
"106","chopin","1","ashkenazy","9","minor","chopinAshkenazy1992","mean","high_freq_energy",0.00640140660107135
"107","chopin","1","ashkenazy","9","minor","chopinAshkenazy1992","std","high_freq_energy",0.00606224220246076
"108","chopin","1","ashkenazy","9","minor","chopinAshkenazy1992","median","high_freq_energy",0.00487895868718624
"109","chopin","1","ashkenazy","1","minor","chopinAshkenazy1992","mean","centroid",967.032870697971
"110","chopin","1","ashkenazy","1","minor","chopinAshkenazy1992","std","centroid",347.330687637932
"111","chopin","1","ashkenazy","1","minor","chopinAshkenazy1992","median","centroid",821.974766789788
"112","chopin","1","ashkenazy","1","minor","chopinAshkenazy1992","mean","zerocrossing",0.0314420534117998
